mean 100 episode reward,% time spent exploring,steps,episodes
1.2,98,13299,100
1.3,97,26066,200
1.0,96,38651,300
1.0,95,49827,400
1.0,93,62009,500
1.3,92,76816,600
1.1,91,90556,700
1.0,89,102932,800
1.1,88,116078,900
1.5,87,128112,1000
1.3,86,141326,1100
1.3,84,153466,1200
1.5,83,168499,1300
1.4,81,182051,1400
1.3,80,195522,1500
1.4,79,209150,1600
1.4,77,225293,1700
1.5,76,240407,1800
1.5,74,255752,1900
1.4,73,270743,2000
1.4,71,284845,2100
1.7,70,297999,2200
1.8,69,312577,2300
1.5,67,325835,2400
1.6,66,342285,2500
1.5,64,357050,2600
1.7,63,370971,2700
1.8,61,387539,2800
1.6,59,404128,2900
1.9,57,430963,3000
1.8,55,451536,3100
2.0,53,467614,3200
2.1,51,486791,3300
1.9,49,509033,3400
2.0,47,529297,3500
2.0,45,549248,3600
2.0,43,571092,3700
1.9,41,592341,3800
2.2,38,616778,3900
2.2,36,639715,4000
2.1,34,658258,4100
2.8,31,693596,4200
2.3,28,717279,4300
2.2,26,743402,4400
2.2,24,766435,4500
1.9,21,790307,4600
2.2,19,817460,4700
2.3,16,846611,4800
1.9,14,868579,4900
2.3,11,890805,5000
2.4,8,920131,5100
2.6,6,947606,5200
2.7,3,971652,5300
2.8,1,997020,5400
3.3,1,1021995,5500
3.7,1,1057167,5600
3.4,1,1081285,5700
3.7,1,1111562,5800
3.1,1,1133524,5900
3.9,1,1158391,6000
4.0,1,1181331,6100
3.9,1,1201522,6200
3.4,1,1224083,6300
3.6,1,1249970,6400
3.5,1,1275327,6500
3.2,1,1297221,6600
3.8,1,1326622,6700
3.2,1,1352088,6800
3.1,1,1374601,6900
3.6,1,1394370,7000
3.6,1,1417369,7100
3.8,1,1442737,7200
3.5,1,1466431,7300
3.8,1,1493803,7400
3.5,1,1516991,7500
3.1,1,1538854,7600
3.9,1,1561037,7700
3.6,1,1586586,7800
3.5,1,1604659,7900
3.6,1,1623657,8000
4.0,1,1644468,8100
3.8,1,1670839,8200
3.4,1,1691680,8300
3.9,1,1713222,8400
4.2,1,1737043,8500
3.6,1,1755087,8600
3.5,1,1774769,8700
4.0,1,1796412,8800
3.8,1,1814832,8900
3.8,1,1834857,9000
3.8,1,1856726,9100
3.9,1,1875020,9200
3.9,1,1893560,9300
3.3,1,1912258,9400
3.8,1,1931449,9500
3.8,1,1949315,9600
4.0,1,1971388,9700
3.7,1,1992078,9800
3.8,1,2013095,9900
3.4,1,2033128,10000
3.2,1,2050841,10100
3.5,1,2067637,10200
4.0,1,2087476,10300
3.5,1,2108159,10400
3.8,1,2129840,10500
3.4,1,2148184,10600
3.9,1,2167930,10700
3.7,1,2187497,10800
3.6,1,2207184,10900
3.2,1,2227162,11000
3.2,1,2244532,11100
3.3,1,2261760,11200
3.6,1,2279363,11300
3.6,1,2298456,11400
3.7,1,2318558,11500
3.5,1,2337606,11600
3.5,1,2355050,11700
3.6,1,2374137,11800
3.7,1,2391261,11900
3.6,1,2408842,12000
3.8,1,2429406,12100
4.1,1,2451309,12200
3.8,1,2471542,12300
3.6,1,2492332,12400
3.5,1,2512126,12500
3.7,1,2531269,12600
3.7,1,2550899,12700
3.8,1,2570298,12800
4.1,1,2588633,12900
3.8,1,2607062,13000
3.5,1,2627994,13100
3.6,1,2646688,13200
3.4,1,2668162,13300
3.5,1,2686859,13400
3.4,1,2704830,13500
3.8,1,2722438,13600
3.3,1,2740480,13700
3.8,1,2760516,13800
3.2,1,2778762,13900
3.4,1,2799831,14000
3.4,1,2819823,14100
3.6,1,2841760,14200
3.4,1,2859499,14300
3.6,1,2882116,14400
3.6,1,2905118,14500
3.6,1,2923653,14600
3.5,1,2942070,14700
3.9,1,2959873,14800
3.6,1,2979431,14900
3.5,1,2998142,15000
3.8,1,3016752,15100
3.5,1,3035990,15200
3.6,1,3055297,15300
4.0,1,3075907,15400
3.9,1,3097289,15500
3.9,1,3117753,15600
3.5,1,3138154,15700
3.9,1,3157568,15800
3.7,1,3178223,15900
3.6,1,3196850,16000
3.7,1,3219379,16100
3.4,1,3239223,16200
3.5,1,3259021,16300
3.9,1,3277335,16400
3.6,1,3294732,16500
3.5,1,3314427,16600
3.3,1,3334681,16700
3.5,1,3354120,16800
3.0,1,3373436,16900
3.3,1,3393919,17000
3.0,1,3413361,17100
3.5,1,3431131,17200
3.1,1,3448233,17300
3.4,1,3467625,17400
3.1,1,3484847,17500
3.5,1,3503357,17600
3.3,1,3521155,17700
3.1,1,3537709,17800
3.2,1,3555691,17900
3.2,1,3575982,18000
3.0,1,3592354,18100
3.4,1,3607502,18200
3.5,1,3623440,18300
3.6,1,3640904,18400
3.5,1,3658342,18500
3.6,1,3679608,18600
3.4,1,3695690,18700
3.2,1,3713585,18800
3.4,1,3730871,18900
3.6,1,3747703,19000
3.3,1,3764981,19100
3.2,1,3781236,19200
3.4,1,3798401,19300
3.4,1,3816078,19400
3.3,1,3833878,19500
3.4,1,3852784,19600
3.5,1,3871582,19700
3.1,1,3887473,19800
3.7,1,3903831,19900
3.6,1,3922857,20000
3.4,1,3940389,20100
3.4,1,3957807,20200
3.6,1,3975265,20300
3.4,1,3995390,20400
3.2,1,4012616,20500
3.2,1,4030321,20600
3.0,1,4047495,20700
2.9,1,4065502,20800
3.4,1,4084029,20900
3.2,1,4105206,21000
3.3,1,4126268,21100
3.0,1,4142348,21200
3.4,1,4161626,21300
3.5,1,4180784,21400
3.3,1,4197742,21500
3.4,1,4216322,21600
3.6,1,4232707,21700
3.4,1,4251453,21800
3.5,1,4269250,21900
3.4,1,4288086,22000
3.7,1,4304927,22100
3.3,1,4320557,22200
3.6,1,4338346,22300
3.5,1,4355002,22400
3.4,1,4371867,22500
3.6,1,4389888,22600
3.6,1,4408150,22700
3.4,1,4427042,22800
3.4,1,4445466,22900
3.4,1,4461746,23000
3.3,1,4479429,23100
3.5,1,4497066,23200
3.2,1,4513151,23300
3.5,1,4533027,23400
3.4,1,4550157,23500
3.7,1,4568901,23600
3.7,1,4586665,23700
3.7,1,4609083,23800
3.6,1,4628062,23900
3.6,1,4647568,24000
3.5,1,4667264,24100
3.3,1,4685492,24200
3.5,1,4702108,24300
3.5,1,4720495,24400
3.4,1,4736240,24500
3.4,1,4752969,24600
3.2,1,4769851,24700
3.4,1,4785881,24800
3.8,1,4803339,24900
3.4,1,4821355,25000
3.4,1,4838570,25100
3.7,1,4856298,25200
3.2,1,4873796,25300
3.5,1,4892336,25400
3.8,1,4911591,25500
3.3,1,4930124,25600
3.4,1,4945619,25700
3.6,1,4966698,25800
3.6,1,4983991,25900
3.2,1,4998872,26000
3.3,1,5016801,26100
3.9,1,5035548,26200
3.7,1,5051953,26300
3.7,1,5069948,26400
3.5,1,5087081,26500
3.3,1,5103910,26600
3.4,1,5120780,26700
3.6,1,5137136,26800
3.7,1,5154102,26900
3.6,1,5170674,27000
3.8,1,5189574,27100
3.6,1,5206291,27200
3.5,1,5223353,27300
3.5,1,5241374,27400
3.4,1,5259735,27500
3.3,1,5276793,27600
3.5,1,5294064,27700
3.8,1,5311103,27800
3.6,1,5327565,27900
3.5,1,5345324,28000
3.6,1,5361874,28100
3.4,1,5379025,28200
3.4,1,5398692,28300
3.6,1,5417194,28400
3.3,1,5434514,28500
3.2,1,5451156,28600
3.1,1,5468121,28700
3.1,1,5486362,28800
3.3,1,5505091,28900
3.1,1,5523761,29000
3.2,1,5542188,29100
3.4,1,5559447,29200
3.4,1,5577442,29300
3.1,1,5594485,29400
3.4,1,5611018,29500
3.0,1,5628051,29600
3.2,1,5646809,29700
3.4,1,5666046,29800
3.0,1,5682326,29900
3.3,1,5700406,30000
3.1,1,5717229,30100
3.1,1,5733920,30200
3.7,1,5751010,30300
3.1,1,5769305,30400
2.9,1,5788467,30500
3.0,1,5806942,30600
2.6,1,5825081,30700
2.7,1,5842068,30800
2.5,1,5858978,30900
2.9,1,5876552,31000
2.8,1,5892378,31100
2.8,1,5907798,31200
2.9,1,5924955,31300
2.8,1,5940535,31400
3.2,1,5956760,31500
3.5,1,5975716,31600
3.0,1,5992899,31700
2.9,1,6009114,31800
3.6,1,6025426,31900
3.2,1,6042825,32000
2.8,1,6059153,32100
3.1,1,6075856,32200
3.0,1,6094068,32300
3.1,1,6111903,32400
3.1,1,6129179,32500
2.9,1,6145489,32600
3.1,1,6160727,32700
3.3,1,6176220,32800
3.1,1,6192795,32900
2.8,1,6211437,33000
3.5,1,6232369,33100
3.3,1,6253122,33200
3.0,1,6270020,33300
3.1,1,6289090,33400
3.0,1,6304403,33500
3.4,1,6321740,33600
2.9,1,6337122,33700
3.0,1,6352856,33800
3.1,1,6370880,33900
3.3,1,6390629,34000
3.1,1,6408653,34100
3.1,1,6428968,34200
3.2,1,6446298,34300
3.2,1,6466270,34400
3.2,1,6483601,34500
3.3,1,6499455,34600
3.0,1,6517244,34700
3.3,1,6535196,34800
3.0,1,6551663,34900
3.3,1,6569255,35000
3.2,1,6587962,35100
3.2,1,6605781,35200
3.6,1,6624380,35300
3.2,1,6642544,35400
3.2,1,6660239,35500
3.0,1,6679018,35600
3.2,1,6697680,35700
2.9,1,6716107,35800
3.3,1,6734362,35900
2.9,1,6752643,36000
2.9,1,6770334,36100
2.9,1,6788822,36200
3.3,1,6807839,36300
2.9,1,6824419,36400
2.9,1,6839467,36500
2.9,1,6857952,36600
2.6,1,6875656,36700
2.8,1,6892644,36800
2.8,1,6909269,36900
3.0,1,6928347,37000
2.8,1,6946171,37100
2.8,1,6961979,37200
3.1,1,6979327,37300
3.0,1,6996733,37400
3.0,1,7013151,37500
2.9,1,7031674,37600
2.9,1,7048533,37700
2.9,1,7065007,37800
3.0,1,7080488,37900
3.0,1,7098726,38000
2.6,1,7116603,38100
2.6,1,7133849,38200
3.0,1,7149281,38300
2.8,1,7164556,38400
3.4,1,7183616,38500
2.7,1,7199452,38600
3.1,1,7216175,38700
3.3,1,7234930,38800
3.0,1,7253179,38900
2.8,1,7269783,39000
2.6,1,7288680,39100
3.0,1,7308172,39200
2.6,1,7325853,39300
2.8,1,7344082,39400
2.8,1,7360331,39500
2.6,1,7377495,39600
3.0,1,7393416,39700
2.9,1,7409571,39800
2.9,1,7429422,39900
3.0,1,7446821,40000
2.7,1,7463148,40100
3.0,1,7479566,40200
3.2,1,7495643,40300
3.0,1,7510507,40400
3.1,1,7525168,40500
3.3,1,7541418,40600
3.3,1,7557873,40700
2.9,1,7573295,40800
3.3,1,7590168,40900
3.5,1,7606282,41000
3.4,1,7623968,41100
2.9,1,7641375,41200
3.2,1,7658840,41300
3.5,1,7681535,41400
3.1,1,7697179,41500
2.9,1,7714815,41600
3.4,1,7731456,41700
3.4,1,7749186,41800
3.5,1,7766390,41900
3.8,1,7784894,42000
3.1,1,7801226,42100
3.2,1,7818680,42200
3.5,1,7835058,42300
3.8,1,7852763,42400
3.5,1,7870039,42500
3.3,1,7887131,42600
3.2,1,7904565,42700
3.1,1,7922086,42800
3.5,1,7939879,42900
3.5,1,7958922,43000
3.5,1,7979176,43100
3.4,1,7996918,43200
2.9,1,8012924,43300
3.0,1,8029447,43400
3.0,1,8047743,43500
3.2,1,8064271,43600
3.1,1,8082697,43700
3.1,1,8099422,43800
3.0,1,8115313,43900
3.0,1,8133634,44000
3.2,1,8150512,44100
3.3,1,8168329,44200
3.1,1,8184579,44300
3.7,1,8202141,44400
3.3,1,8220029,44500
3.3,1,8238687,44600
3.1,1,8255977,44700
3.1,1,8274115,44800
2.9,1,8291214,44900
2.8,1,8308828,45000
3.0,1,8326321,45100
3.1,1,8344003,45200
3.1,1,8360928,45300
3.1,1,8377994,45400
3.3,1,8394382,45500
3.0,1,8410206,45600
3.0,1,8427609,45700
2.8,1,8442520,45800
2.9,1,8458808,45900
3.1,1,8476689,46000
2.8,1,8494143,46100
3.0,1,8512291,46200
3.1,1,8531469,46300
2.8,1,8548345,46400
2.9,1,8564514,46500
2.7,1,8584400,46600
2.6,1,8599551,46700
2.9,1,8617272,46800
2.6,1,8633252,46900
2.9,1,8649830,47000
2.9,1,8667146,47100
2.7,1,8683353,47200
3.0,1,8700924,47300
2.8,1,8717727,47400
2.9,1,8735736,47500
3.0,1,8752219,47600
2.4,1,8768165,47700
2.6,1,8784111,47800
2.6,1,8799926,47900
2.5,1,8816457,48000
2.6,1,8833491,48100
2.7,1,8848701,48200
3.0,1,8866706,48300
2.7,1,8883167,48400
2.2,1,8899097,48500
2.8,1,8915052,48600
2.7,1,8931758,48700
2.7,1,8949231,48800
2.5,1,8968385,48900
3.0,1,8986613,49000
2.4,1,9003473,49100
2.8,1,9022270,49200
2.7,1,9040806,49300
2.6,1,9056976,49400
3.0,1,9072039,49500
2.8,1,9089219,49600
3.1,1,9107669,49700
2.7,1,9125111,49800
2.8,1,9141985,49900
2.9,1,9159730,50000
2.8,1,9176871,50100
2.9,1,9193287,50200
2.9,1,9210514,50300
3.0,1,9229694,50400
2.8,1,9247155,50500
3.1,1,9266025,50600
2.9,1,9282137,50700
3.0,1,9297998,50800
2.8,1,9317455,50900
2.8,1,9336602,51000
2.8,1,9355200,51100
2.8,1,9371500,51200
3.1,1,9390982,51300
3.1,1,9410201,51400
2.7,1,9426763,51500
2.9,1,9444998,51600
2.9,1,9463706,51700
3.2,1,9482139,51800
2.9,1,9499535,51900
3.1,1,9517635,52000
3.0,1,9536803,52100
2.7,1,9556121,52200
2.9,1,9574675,52300
3.0,1,9592335,52400
3.0,1,9608686,52500
3.2,1,9626319,52600
3.0,1,9645906,52700
2.9,1,9662902,52800
3.0,1,9680974,52900
2.7,1,9698056,53000
3.2,1,9713234,53100
3.3,1,9731795,53200
3.2,1,9748808,53300
2.9,1,9765925,53400
3.1,1,9784525,53500
3.0,1,9804163,53600
3.0,1,9820628,53700
3.1,1,9838962,53800
2.8,1,9856533,53900
3.2,1,9875521,54000
3.1,1,9893620,54100
2.9,1,9910976,54200
3.2,1,9929132,54300
2.8,1,9944321,54400
3.1,1,9961724,54500
2.9,1,9979379,54600
2.9,1,9996253,54700
